"movie_id","movie_name","year","certificate","runtime","rating","director","star","votes","gross(in $)"
"tt9114286","Black Panther: Wakanda Forever","2022","PG-13","161 min","6.9","Ryan Coogler","Letitia Wright#Lupita Nyong'o#Danai Gurira#Winston Duke","204835","-"
"tt1630029","Avatar: The Way of Water","2022","PG-13","192 min","7.8","James Cameron","Sam Worthington#Zoe Saldana#Sigourney Weaver#Stephen Lang","295119","-"
"tt6710474","Everything Everywhere All at Once","2022","R","139 min","8","Dan Kwan#Daniel Scheinert","Michelle Yeoh#Stephanie Hsu#Jamie Lee Curtis#Ke Huy Quan","327858","-"
"tt3915174","Puss in Boots: The Last Wish","2022","PG","102 min","7.9","Joel Crawford#Januel Mercado","Antonio Banderas#Salma Hayek#Harvey Guillén#Florence Pugh","75016","-"
"tt15486810","Teen Wolf: The Movie","2023","TV-MA","140 min","5.6","Russell Mulcahy","Tyler Posey#Crystal Reed#Holland Roden#Tyler Hoechlin","9026","-"
"tt14668630","Lyle, Lyle, Crocodile","2022","PG","106 min","6.1","Josh Gordon#Will Speck","Javier Bardem#Winslow Fegley#Shawn Mendes#Constance Wu","8131","-"
"tt0499549","Avatar","2009","PG-13","162 min","7.9","James Cameron","Sam Worthington#Zoe Saldana#Sigourney Weaver#Michelle Rodriguez","1322694","760507625"
"tt6718170","The Super Mario Bros. Movie","2023","PG","-","-","Aaron Horvath#Michael Jelenic","Chris Pratt#Anya Taylor-Joy#Charlie Day#Jack Black","-","-"
"tt0241527","Harry Potter and the Sorcerer's Stone","2001","PG","152 min","7.6","Chris Columbus","Daniel Radcliffe#Rupert Grint#Richard Harris#Maggie Smith","792448","317575550"
"tt6443346","Black Adam","2022","PG-13","125 min","6.4","Jaume Collet-Serra","Dwayne Johnson#Aldis Hodge#Pierce Brosnan#Noah Centineo","222934","-"
"tt1488589","Guillermo del Toro's Pinocchio","2022","PG","117 min","7.6","Guillermo del Toro#Mark Gustafson","Ewan McGregor#David Bradley#Gregory Mann#Burn Gorman","80804","-"
"tt11138512","The Northman","2022","R","137 min","7.1","Robert Eggers","Alexander Skarsgård#Nicole Kidman#Claes Bang#Ethan Hawke","217036","-"
"tt0439572","The Flash","2023","-","-","-","Andy Muschietti","Ben Affleck#Michael Shannon#Michael Keaton#Ezra Miller","-","-"
"tt0120737","The Lord of the Rings: The Fellowship of the Ring","2001","PG-13","178 min","8.8","Peter Jackson","Elijah Wood#Ian McKellen#Orlando Bloom#Sean Bean","1889727","315544750"
"tt10648342","Thor: Love and Thunder","2022","PG-13","118 min","6.3","Taika Waititi","Chris Hemsworth#Natalie Portman#Christian Bale#Tessa Thompson","344327","-"
"tt2906216","Dungeons & Dragons: Honor Among Thieves","2023","-","134 min","-","John Francis Daley#Jonathan Goldstein","Chris Pine#Michelle Rodriguez#Regé-Jean Page#Justice Smith","-","-"
"tt10872600","Spider-Man: No Way Home","2021","PG-13","148 min","8.2","Jon Watts","Tom Holland#Zendaya#Benedict Cumberbatch#Jacob Batalon","770492","804747988"
"tt5971474","The Little Mermaid","2023","PG","-","-","Rob Marshall","Halle Bailey#Jonah Hauer-King#Melissa McCarthy#Javier Bardem","-","-"
"tt10298840","Strange World","2022","PG","102 min","5.6","Don Hall#Qui Nguyen","Jake Gyllenhaal#Jaboukie Young-White#Gabrielle Union#Dennis Quaid","34585","-"
"tt3447590","Roald Dahl's Matilda the Musical","2022","PG","117 min","7.1","Matthew Warchus","Alisha Weir#Emma Thompson#Lashana Lynch#Stephen Graham","19624","-"
"tt12003946","Violent Night","2022","R","112 min","6.7","Tommy Wirkola","David Harbour#John Leguizamo#Beverly D'Angelo#Alex Hassell","61464","-"
"tt0448694","Puss in Boots","2011","PG","90 min","6.6","Chris Miller","Antonio Banderas#Salma Hayek#Zach Galifianakis#Billy Bob Thornton","173008","149260504"
"tt1517268","Barbie","2023","-","-","-","Greta Gerwig","Margot Robbie#Ryan Gosling#Helen Mirren#Will Ferrell","-","-"
"tt0107048","Groundhog Day","1993","PG","101 min","8.1","Harold Ramis","Bill Murray#Andie MacDowell#Chris Elliott#Stephen Tobolowsky","640914","70906973"
"tt0446029","Scott Pilgrim vs. the World","2010","PG-13","112 min","7.5","Edgar Wright","Michael Cera#Mary Elizabeth Winstead#Kieran Culkin#Anna Kendrick","433481","31494270"
"tt2953050","Encanto","2021","PG","102 min","7.2","Jared Bush#Byron Howard#Charise Castro Smith","Stephanie Beatriz#María Cecilia Botero#John Leguizamo#Mauro Castillo","228597","96093622"
"tt10151854","Shazam! Fury of the Gods","2023","PG-13","130 min","-","David F. Sandberg","Helen Mirren#Zachary Levi#Meagan Good#Grace Caroline Currey","-","-"
"tt0330373","Harry Potter and the Goblet of Fire","2005","PG-13","157 min","7.7","Mike Newell","Daniel Radcliffe#Emma Watson#Rupert Grint#Eric Sykes","636066","290013036"
"tt0120616","The Mummy","1999","PG-13","124 min","7.1","Stephen Sommers","Brendan Fraser#Rachel Weisz#John Hannah#Arnold Vosloo","436705","155247825"
"tt7984734","The Lighthouse","2019","R","109 min","7.4","Robert Eggers","Robert Pattinson#Willem Dafoe#Valeriia Karaman#Logan Hawkes","223508","427797"
"tt0096446","Willow","1988","PG","126 min","7.2","Ron Howard","Val Kilmer#Joanne Whalley#Warwick Davis#Jean Marsh","125340","57269863"
"tt13841850","Men","2022","R","100 min","6.1","Alex Garland","Jessie Buckley#Rory Kinnear#Paapa Essiedu#Gayle Rankin","45990","-"
"tt0120689","The Green Mile","1999","R","189 min","8.6","Frank Darabont","Tom Hanks#Michael Clarke Duncan#David Morse#Bonnie Hunt","1313365","136801374"
"tt0167260","The Lord of the Rings: The Return of the King","2003","PG-13","201 min","9","Peter Jackson","Elijah Wood#Viggo Mortensen#Ian McKellen#Orlando Bloom","1860374","377845905"
"tt2194499","About Time","2013","R","123 min","7.8","Richard Curtis","Domhnall Gleeson#Rachel McAdams#Bill Nighy#Lydia Wilson","358040","15322921"
"tt9419884","Doctor Strange in the Multiverse of Madness","2022","PG-13","126 min","6.9","Sam Raimi","Benedict Cumberbatch#Elizabeth Olsen#Chiwetel Ejiofor#Benedict Wong","425235","-"
"tt9032400","Eternals","2021","PG-13","156 min","6.3","Chloé Zhao","Gemma Chan#Richard Madden#Angelina Jolie#Salma Hayek","348052","164870234"
"tt1201607","Harry Potter and the Deathly Hallows: Part 2","2011","PG-13","130 min","8.1","David Yates","Daniel Radcliffe#Emma Watson#Rupert Grint#Michael Gambon","885463","381011219"
"tt0117008","Matilda","1996","PG","102 min","7","Danny DeVito","Danny DeVito#Rhea Perlman#Mara Wilson#Embeth Davidtz","159846","33084249"
"tt0093779","The Princess Bride","1987","PG","98 min","8","Rob Reiner","Cary Elwes#Mandy Patinkin#Robin Wright#Chris Sarandon","431599","30857814"
"tt6166392","Wonka","2023","-","-","-","Paul King","Timothée Chalamet#Olivia Colman#Colin O'Brien#Sally Hawkins","-","-"
"tt6264654","Free Guy","2021","PG-13","115 min","7.1","Shawn Levy","Ryan Reynolds#Jodie Comer#Taika Waititi#Lil Rel Howery","377893","121626598"
